23A,0.277,0.253,0.173,0.146
23B,,,,
23C,0.325,0.285,0.16,0.164
23D,0.259,0.309,0.173,0.162
23E,0.327,0.284,0.133,0.176
23F,0.292,0.364,0.187,0.192
23G,0.323,0.36,0.156,0.139
25A,,,,
25B,,,,
25C,,,,
25D,,,,
26A,,,,
26B,0.36,0.299,0.121,0.163
26C,,,,
26E,,,,
26F,,,,
26G,0.331,0.379,0.221,0.202
26H,0.288,0.276,0.132,0.139
28A,,,,
29A,,,,
29B,0.384,0.322,0.192,0.196
29C,,,,
29D,0.33,0.316,0.16,0.179
29E,0.327,0.273,0.19,0.129
29F,0.356,0.326,0.181,0.176
29G,,,,
29H,,,,
36A,0.337,0.326,0.158,0.17
36B,0.376,0.394,0.172,0.169
36C,0.35,0.343,0.169,0.176
36D,0.324,0.318,0.171,0.175
36E,0.363,0.353,0.174,0.178
36F,0.351,0.363,0.182,0.171
36G,0.343,0.374,0.162,0.151
39A,0.341,0.367,0.144,0.161
39B,0.359,0.323,0.149,0.162
39C,0.388,0.392,0.165,0.191
39D,0.377,0.341,0.16,0.158
39E,0.377,0.365,0.16,0.179
39F,0.35,0.336,0.15,0.142
39G,0.367,0.335,0.149,0.147
44A,0.3,0.31,0.117,0.11
44B,0.341,0.321,0.145,0.14
44C,0.332,0.343,0.153,0.153
44D,0.361,0.357,0.161,0.155
44E,0.334,0.335,0.135,0.142
44F,0.33,0.332,0.12,0.136
44G,0.345,0.36,0.13,0.153
44H,0.281,0.292,0.124,0.128
44I,0.3,0.272,0.124,0.122
44J,0.331,0.346,0.135,0.15
45A,0.345,0.279,0.135,0.14
45B,0.282,0.26,0.146,0.135
45C,0.316,0.278,0.135,0.133
45D,0.304,0.351,0.172,0.165
45E,0.326,0.324,0.139,0.154
45F,0.308,0.309,0.148,0.124
