22A,,,,
22B,0.334,0.325,0.156,0.134
22C,,,,
22D,0.258,0.333,0.146,0.169
22E,,,,
22F,,,,
22G,,,,
22H,,,,
27C,,,,
27D,,,,
27G,0.26,0.265,0.168,0.128
27H,0.31,0.333,0.156,0.138
31A,0.34,0.307,0.181,0.19
31B,0.378,0.354,0.194,0.214
31C,0.367,0.32,0.174,0.174
31D,,,,
31E,0.323,0.299,0.167,0.166
32A,0.3,0.305,0.161,0.147
32B,,,,
32C,0.331,0.332,0.166,0.164
32D,,,,
32E,,,,
32F,,,,
32G,,,,
32H,0.355,0.349,0.203,0.206
33A,0.303,0.315,0.207,0.205
33B,0.334,0.262,0.176,0.135
33C,0.312,0.337,0.164,0.18
33D,0.358,0.349,0.173,0.196
33E,0.32,0.309,0.165,0.187
33F,0.308,0.308,0.179,0.178
33G,,,,
33H,0.35,0.322,0.172,0.169
33I,,,,
33J,0.327,0.363,0.184,0.17
40A,0.358,0.357,0.171,0.152
40B,0.316,0.321,0.143,0.161
40C,0.334,0.301,0.142,0.135
40D,0.314,0.348,0.141,0.133
41A,0.346,0.356,0.165,0.169
41B,0.361,0.377,0.188,0.182
41C,0.373,0.37,0.177,0.197
41D,0.331,0.296,0.14,0.136
41E,0.403,0.385,0.185,0.191
41F,0.371,0.342,0.182,0.196
41G,0.402,0.399,0.183,0.184
41H,0.349,0.34,0.171,0.171
41I,0.393,0.373,0.188,0.183
42A,0.346,0.344,0.159,0.148
42B,0.337,0.31,0.131,0.133
42C,0.371,0.277,0.118,0.094
42D,0.349,0.322,0.142,0.128
42E,0.34,0.341,0.135,0.134
42F,0.319,0.338,0.127,0.129
42G,0.322,0.328,0.143,0.134
43A,0.319,0.348,0.124,0.165
43B,0.338,0.35,0.139,0.151
43C,0.336,0.339,0.157,0.133
43D,0.309,0.331,0.146,0.118
43E,0.335,0.312,0.133,0.124
43F,0.374,0.348,0.156,0.141
43G,0.327,0.132,,
43H,0.336,0.304,0.142,0.118
43I,0.306,0.328,0.121,0.138
78A,0.396,0.402,0.16,0.18
78C,,,,
78D,0.392,0.379,0.18,0.155
78F,,,,
78G,,,,
78H,,,,
78I,,,,
78J,,,,
