22A,,,,
22B,0.296,0.269,0.155,0.129
22C,,,,
22D,0.276,0.243,0.146,0.129
22E,,,,
22F,,,,
22G,,,,
22H,0.22,0.234,0.109,0.144
27C,,,,
27D,,,,
27G,0.228,0.233,0.147,0.137
27H,0.251,0.258,0.099,0.098
31A,0.216,0.215,0.158,0.147
31B,0.259,0.308,0.154,0.167
31C,0.221,0.24,0.125,0.129
31D,,,,
31E,0.204,0.259,0.128,0.141
32A,,,,
32B,,,,
32C,,,,
32D,,,,
32E,,,,
32F,,,,
32G,,,,
32H,,,,
33A,,,,
33B,,,,
33C,,,,
33D,,,,
33E,,,,
33F,,,,
33G,,,,
33H,,,,
33I,,,,
33J,,,,
40A,,,,
40B,0.292,0.283,0.098,0.125
40C,0.282,0.253,0.093,0.116
40D,0.285,0.262,0.105,0.102
41A,0.304,0.302,0.129,0.146
41B,0.317,0.292,0.13,0.144
41C,0.322,0.279,0.169,0.111
41D,0.318,0.299,0.121,0.116
41E,0.312,0.305,0.142,0.147
41F,,,,
41G,,,,
41H,0.336,0.314,0.145,0.155
41I,,,,
42A,,,,
42B,0.24,0.247,0.1,0.093
42C,0.221,0.249,0.046,0.075
42D,0.216,0.235,0.081,0.096
42E,0.273,0.259,0.075,0.076
42F,0.29,0.284,0.078,0.079
42G,0.238,0.25,0.092,0.091
43A,0.288,0.237,0.121,0.104
43B,0.29,0.259,0.101,0.101
43C,0.268,0.255,0.102,0.093
43D,0.254,0.282,0.102,0.122
43E,0.234,0.233,0.086,0.083
43F,0.266,0.26,0.124,0.099
43G,0.272,0.265,0.085,0.084
43H,,,,
43I,0.249,0.279,0.112,0.103
78A,0.315,0.321,0.134,0.139
78C,,,,
78D,0.306,0.319,0.116,0.12
78F,0.289,0.267,0.115,0.119
78G,,,,
78H,0.334,0.277,0.151,0.142
78I,0.285,0.269,0.138,0.135
78J,0.322,0.311,0.131,0.133
