2A,0.275,0.274,0.101,0.085
2B,0.234,0.272,0.095,0.089
2C,0.205,0.228,0.074,0.092
2D,0.264,0.238,0.081,0.095
3A,,,,
3B,0.287,0.278,0.151,0.165
3C,,,,
4A,0.32,0.35,0.167,0.177
4B,0.276,0.376,0.139,0.233
7A,,,,
7B,,,,
7C,,,,
7D,0.332,0.367,0.212,0.246
7E,,,,
7F,0.323,0.324,0.197,0.17
A,0.382,0.377,0.191,0.206
C,,,,
D,0.368,0.319,0.201,0.173
E,,,,
F,,,,
G,0.43,0.337,0.282,0.235
H,0.393,0.442,0.224,0.302
5A,,,,
5B,,,,
5C,,,,
5D,0.276,0.331,0.135,0.15
5E,,,,
5F,,,,
5G,,,,
5H,,,,
5I,0.362,0.303,0.157,0.128
18A,0.299,0.329,0.17,0.177
18B,0.313,0.387,0.175,0.201
18C,0.298,0.328,0.178,0.143
18D,0.352,0.341,0.191,0.207
18E,,,,
18F,,,,
18G,0.363,0.353,0.194,0.185
20A,,,,
20B,0.411,0.287,0.184,0.187
20C,0.265,0.343,0.124,0.166
20D,0.302,0.384,0.138,0.14
20E,0.266,0.272,0.145,0.122
20F,,,,
20G,0.316,0.31,0.163,0.185
34A,0.348,0.3,0.187,0.173
34B,0.327,0.335,0.169,0.131
34C,0.342,0.341,0.18,0.177
34D,0.336,0.344,0.138,0.147
34E,,,,
34F,0.361,0.348,0.14,0.164
34G,0.337,0.328,0.156,0.155
34H,0.367,0.375,0.18,0.163
34I,0.351,0.372,0.175,0.16
34J,0.344,0.38,0.139,0.158
46A,0.337,0.298,0.13,0.133
46B,0.338,0.343,0.153,0.148
80E,,,,
80F,,,,
80G,,,,
