,ecdf,Label,Values,location,ID,Normalized Calcium
0,0.02631578947368421,PBS,0.046,left femur calcium,22B,0.22549019607843138
1,0.05263157894736842,PBS,0.075,left femur calcium,22D,0.34722222222222215
2,0.07894736842105263,PBS,0.078,left femur calcium,22H,0.36111111111111105
3,0.10526315789473684,PBS,0.081,left femur calcium,27G,0.36818181818181817
4,0.13157894736842105,PBS,0.085,left femur calcium,27H,0.38461538461538464
5,0.15789473684210525,PBS,0.086,left femur calcium,31A,0.3891402714932126
6,0.18421052631578946,PBS,0.092,left femur calcium,31B,0.40350877192982454
7,0.21052631578947367,PBS,0.09300000000000001,left femur calcium,31C,0.3974358974358975
8,0.23684210526315788,PBS,0.098,left femur calcium,31E,0.4117647058823529
9,0.2631578947368421,PBS,0.099,left femur calcium,40B,0.41250000000000003
10,0.2894736842105263,PBS,0.1,left femur calcium,40C,0.40160642570281124
11,0.3157894736842105,PBS,0.10099999999999999,left femur calcium,40D,0.40239043824701193
12,0.34210526315789475,PBS,0.102,left femur calcium,41A,0.40157480314960625
13,0.3684210526315789,PBS,0.102,left femur calcium,41B,0.3938223938223938
14,0.39473684210526316,PBS,0.105,left femur calcium,41C,0.3947368421052631
15,0.42105263157894735,PBS,0.109,left femur calcium,41D,0.4067164179104477
16,0.4473684210526316,PBS,0.11199999999999999,left femur calcium,41E,0.41176470588235287
17,0.47368421052631576,PBS,0.115,left femur calcium,41H,0.42124542124542125
18,0.5,PBS,0.11599999999999999,left femur calcium,42B,0.4202898550724637
19,0.5263157894736842,PBS,0.121,left femur calcium,42C,0.42907801418439717
20,0.5526315789473685,PBS,0.121,left femur calcium,42D,0.424561403508772
21,0.5789473684210527,PBS,0.124,left femur calcium,42E,0.43508771929824563
22,0.6052631578947368,PBS,0.125,left femur calcium,42F,0.43402777777777773
23,0.631578947368421,PBS,0.128,left femur calcium,42G,0.44290657439446374
24,0.6578947368421053,PBS,0.129,left femur calcium,43A,0.4448275862068966
25,0.6842105263157895,PBS,0.13,left femur calcium,43B,0.4482758620689656
26,0.7105263157894737,PBS,0.131,left femur calcium,43C,0.44863013698630144
27,0.7368421052631579,PBS,0.134,left femur calcium,43D,0.4527027027027027
28,0.7631578947368421,PBS,0.138,left femur calcium,43E,0.45394736842105265
29,0.7894736842105263,PBS,0.142,left femur calcium,43F,0.4640522875816993
30,0.8157894736842105,PBS,0.145,left femur calcium,43G,0.4647435897435897
31,0.8421052631578947,PBS,0.146,left femur calcium,43I,0.46349206349206346
32,0.868421052631579,PBS,0.147,left femur calcium,78A,0.46372239747634064
33,0.8947368421052632,PBS,0.151,left femur calcium,78D,0.4748427672955975
34,0.9210526315789473,PBS,0.154,left femur calcium,78F,0.47826086956521735
35,0.9473684210526315,PBS,0.155,left femur calcium,78H,0.48136645962732916
36,0.9736842105263158,PBS,0.158,left femur calcium,78I,0.4730538922155689
37,1.0,PBS,0.16899999999999998,left femur calcium,78J,0.5029761904761904
0,0.037037037037037035,Snus,0.062,left femur calcium,2D,0.31
1,0.07407407407407407,Snus,0.10400000000000001,left femur calcium,3A,0.4727272727272728
2,0.1111111111111111,Snus,0.105,left femur calcium,3B,0.45652173913043476
3,0.14814814814814814,Snus,0.109,left femur calcium,3C,0.45991561181434604
4,0.18518518518518517,Snus,0.11,left femur calcium,4A,0.4621848739495798
